Taxkey,Address,lat,lng
352-1976-100,2228 N 15TH ST,43.0595259,-87.9311793
328-0506-000,2339 N SHERMAN BL,43.06150359999999,-87.9680464
351-1101-000,1961 N 19TH ST,43.056165,-87.936775
308-0501-000,2870 N GRANT BL,43.071233,-87.965322
347-1061-000,2236 N 51ST ST,43.060142,-87.977216
348-1129-000,2164 N 36TH ST,43.058915,-87.95840899999999
350-3782-000,2333 W BROWN ST,43.056053,-87.942352
324-9991-000,1534 W WRIGHT ST,43.0642551,-87.9324929
364-0827-100,2459 W WALNUT ST,43.0526,-87.94426399999999
323-0046-000,2564A N 10TH ST,43.065393,-87.9235209
347-0905-000,2217 N SHERMAN BL,43.059677,-87.96804000000002
310-1877-100,2728 N 25TH ST,43.068563,-87.94455099999999
349-1403-000,1739 N 34TH ST,43.053754,-87.956769
328-1629-000,2666 N 45TH ST,43.067548,-87.969635
310-2606-000,2877 N 26TH ST,43.071402,-87.94645299999999
328-0113-000,2409 N 49TH ST,43.06272999999999,-87.975364
312-2437-000,2821 N 10TH ST,43.0699982,-87.9242998
328-0415-000,2635 N 47TH ST,43.0669116,-87.97271669999999
366-0006-000,1333 N 40TH ST,43.047904,-87.96396999999999
328-0435-000,2645 N 48TH ST,43.0671459,-87.97401719999999
347-1011-000,2206 N 49TH ST,43.059522,-87.97435399999999
328-1015-000,2503 N 48TH ST,43.064428,-87.974104
327-1598-000,2603 N 37TH ST,43.066208,-87.96009099999999
328-0215-000,2629 N 48TH ST,43.066814,-87.9740659
328-0646-000,2362 N 45TH ST,43.06204,-87.969703
365-0640-000,1713 N 29TH ST,43.0531862,-87.9502239
347-0464-000,2167 N 47TH ST,43.0586296,-87.9726981
328-1823-000,2519 N 49TH ST,43.064753,-87.975241
310-9967-000,2736 N 24TH PL,43.068699,-87.943314
366-1021-000,1621 N 38TH ST,43.0520248,-87.961852
349-2403-000,1731 N 33RD ST,43.05361010000001,-87.9555156
349-1172-000,2104 N 29TH ST,43.058001,-87.949573
311-0514-100,2770 N 15TH ST,43.0692583,-87.9310622
365-1088-000,1511 N 33RD ST,43.050422,-87.95561599999999
349-2401-000,1741 N 33RD ST,43.0538246,-87.95550659999999
348-1070-000,2139 N 36TH ST,43.058381,-87.959088
365-1032-000,1638 N 35TH ST,43.05237700000001,-87.957284
310-2506-000,2851 N 24TH PL,43.0708384,-87.9438356
309-0398-000,2773 N 27TH ST,43.0694848,-87.9475492
326-0319-100,2505 N 33RD ST,43.0644685,-87.9554496
326-0906-000,2413A N 33RD ST,43.0628218,-87.95549849999999
325-1334-000,2485 W CENTER ST,43.067624,-87.944761
325-0486-000,2408 N 22ND ST,43.06264400000001,-87.93969899999999
326-1548-000,2444 N 35TH ST,43.0634595,-87.95729709999999
349-1595-000,3212 W VINE ST,43.055283,-87.95448999999999
349-1595-000,3212 W VINE ST,43.055283,-87.95448999999999
347-1090-000,2162 N 51ST ST,43.0586174,-87.9773531
366-1711-000,1413 N 37TH ST,43.049101,-87.959772
348-0468-000,2218 N 42ND ST,43.059693,-87.96548299999999
347-1036-000,2222 N HI MOUNT BL,43.05986499999999,-87.975647
327-0781-000,2536 N GRANT BL,43.065104,-87.965412
328-0001-000,2465 N 47TH ST,43.06388399999999,-87.972827
328-1014-000,2509 N 48TH ST,43.0645525,-87.9740557
308-0827-000,2809 N 38TH ST,43.0699759,-87.961305
328-0749-000,2528 N 46TH ST,43.064957,-87.970889
350-2710-000,2112 W BROWN ST,43.0564844,-87.93941
327-0509-000,2425 N GRANT BL,43.063014,-87.96634399999999
348-1228-000,3908 W ROBERTS ST,43.0534791,-87.9627527
328-1847-000,2523 N 50TH ST,43.0648729,-87.9765041
348-1436-000,1864 N 40TH ST,43.054709,-87.963304
326-0157-000,2909 W CLARKE ST,43.0658797,-87.9502831
352-2713-000,2025 N 11TH ST,43.057194,-87.925961
348-0495-000,2215 N 42ND ST,43.0596051,-87.9660652
349-2404-000,1729 N 33RD ST,43.053475,-87.955606
312-3106-000,2732 N 11TH ST,43.0684075,-87.92515440000001
350-2191-110,2428 W LLOYD ST,43.0580349,-87.94361
326-1458-000,2568 N 34TH ST,43.065782,-87.95597099999999
348-0963-000,2223 N 37TH ST,43.059782,-87.960256
347-0488-000,2154 N 48TH ST,43.058378,-87.97321099999999
351-1118-000,1901 N 19TH ST,43.054947,-87.936677
324-9956-000,2578 N 16TH ST,43.065774,-87.932265
365-0663-000,1643 N 28TH ST,43.052406,-87.94915200000001
324-0966-000,2552 N 20TH ST,43.06530799999999,-87.937168
310-0429-000,2210 W CENTER ST,43.068087,-87.9403729
310-0418-000,2728 N 24TH ST,43.06856639999999,-87.94217479999999
347-1068-000,2165 N HI MOUNT BL,43.058545,-87.976629
352-1876-100,2028 N 16TH ST,43.056813,-87.93235399999999
348-1229-000,3912 W ROBERTS ST,43.053522,-87.9628929
