"nwiggles","hat unifavg","unifavg","hat invvar","invvar","hat taurho","taurho","hat tauproj","tauproj","hat taugeo","taugeo","hat taupop","taupop"
0,"1.02 (0.14)","1.00","1.23 (0.10)","1.23","1.21 (0.10)","1.21","1.23 (0.10)","1.24","1.02 (0.14)","1.00","1.21 (0.10)","1.21"
1,"1.01 (0.13)","0.99","1.14 (0.09)","1.16","1.19 (0.10)","1.19","1.24 (0.10)","1.24","0.99 (0.13)","0.97","1.17 (0.10)","1.17"
2,"0.98 (0.13)","0.95","1.14 (0.09)","1.16","1.15 (0.10)","1.14","1.24 (0.10)","1.24","0.97 (0.13)","0.94","1.14 (0.10)","1.14"
3,"0.94 (0.13)","0.91","1.14 (0.09)","1.16","1.09 (0.10)","1.08","1.23 (0.10)","1.23","0.96 (0.13)","0.93","1.13 (0.10)","1.12"
5,"0.86 (0.13)","0.82","1.14 (0.09)","1.15","0.98 (0.11)","0.96","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
10,"0.72 (0.14)","0.67","1.14 (0.09)","1.15","0.80 (0.13)","0.76","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
20,"0.58 (0.15)","0.52","1.14 (0.09)","1.15","0.63 (0.14)","0.58","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
40,"0.48 (0.16)","0.41","1.14 (0.09)","1.15","0.50 (0.16)","0.44","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
80,"0.41 (0.17)","0.34","1.14 (0.09)","1.15","0.42 (0.17)","0.35","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
160,"0.37 (0.18)","0.30","1.14 (0.09)","1.15","0.38 (0.18)","0.30","1.23 (0.10)","1.23","0.94 (0.13)","0.92","1.11 (0.10)","1.11"
320,"0.36 (0.18)","0.27","1.14 (0.09)","1.15","0.36 (0.18)","0.28","1.23 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
640,"0.34 (0.18)","0.26","1.14 (0.09)","1.15","0.35 (0.18)","0.26","1.24 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
1000,"0.35 (0.18)","0.26","1.15 (0.09)","1.15","0.35 (0.18)","0.26","1.24 (0.10)","1.23","0.95 (0.13)","0.92","1.12 (0.10)","1.11"
